buy_value,sell_value,quantity,buy_wallet,sell_wallet,date_open,date_close,,,,,,,date_open,date_close
10900,10900,0.00009174,0.0000001,0.9999661,1/16/18 7:00 PM,1/16/18 7:00 PM,,,,,,,1.51615E+12,1.51615E+12
10700.07,10700.07,0.00009346,0.0000001,1.00002864,1/16/18 8:00 PM,1/16/18 8:00 PM,,,,,,,1.51615E+12,1.51615E+12
11120.04,11120.04,0.00008993,0.0000001,1.0000253,1/19/18 1:00 AM,1/19/18 1:00 AM,,,,,,,1.51634E+12,1.51634E+12
12499.96,12499.96,0.00008,0.0000001,0.9999969,1/20/18 10:00 PM,1/20/18 10:00 PM,,,,,,,1.5165E+12,1.5165E+12
12400,12400,0.00008065,0.0000001,1.0000601,1/20/18 11:00 PM,1/20/18 11:00 PM,,,,,,,1.51651E+12,1.51651E+12
11826.99,11826.99,0.00008455,0.0000001,0.9999721,1/21/18 2:00 AM,1/21/18 2:00 AM,,,,,,,1.51652E+12,1.51652E+12
11701.14,11701.14,0.00008546,0.0000001,0.99997952,1/21/18 3:00 AM,1/21/18 3:00 AM,,,,,,,1.51652E+12,1.51652E+12
11780,11780,0.00008489,0.0000001,1.0000043,1/21/18 4:00 AM,1/21/18 4:00 AM,,,,,,,1.51653E+12,1.51653E+12
11633.23,11633.23,0.00008596,0.0000001,0.99999255,1/21/18 5:00 AM,1/21/18 5:00 AM,,,,,,,1.51653E+12,1.51653E+12
11344.57,11344.57,0.00008815,0.0000001,1.00002395,1/21/18 2:00 PM,1/21/18 2:00 PM,,,,,,,1.51656E+12,1.51656E+12
11356.99,11356.99,0.00008805,0.0000001,0.99998307,1/21/18 3:00 PM,1/21/18 3:00 PM,,,,,,,1.51656E+12,1.51656E+12
11129.53,11129.53,0.00008985,0.0000001,0.99998837,1/21/18 6:00 PM,1/21/18 6:00 PM,,,,,,,1.51658E+12,1.51658E+12
11530,11530,0.00008673,0.0000001,0.999997,1/21/18 7:00 PM,1/21/18 7:00 PM,,,,,,,1.51658E+12,1.51658E+12
10330,10330,0.00009681,0.0000001,1.0000474,1/22/18 11:00 AM,1/22/18 11:00 AM,,,,,,,1.51664E+12,1.51664E+12
10540,10540,0.00009488,0.0000001,1.0000353,1/22/18 1:00 PM,1/22/18 1:00 PM,,,,,,,1.51664E+12,1.51664E+12
10760.05,10760.05,0.00009294,0.0000001,1.00003915,1/22/18 7:00 PM,1/22/18 7:00 PM,,,,,,,1.51667E+12,1.51667E+12
11056,11056,0.00009045,0.0000001,1.0000153,1/25/18 1:00 PM,1/25/18 1:00 PM,,,,,,,1.5169E+12,1.5169E+12
11250,11250,0.00008889,0.0000001,1.0000126,1/25/18 2:00 PM,1/25/18 2:00 PM,,,,,,,1.51691E+12,1.51691E+12
10520,10520,0.00009506,0.0000001,1.0000313,1/26/18 6:00 AM,1/26/18 6:00 AM,,,,,,,1.51696E+12,1.51696E+12
10513.97,10513.97,0.00009511,0.0000001,0.99998379,1/26/18 7:00 AM,1/26/18 7:00 AM,,,,,,,1.51697E+12,1.51697E+12
11598.98,11598.98,0.00008621,0.0000001,0.99994817,1/28/18 11:00 PM,1/28/18 11:00 PM,,,,,,,1.5172E+12,1.5172E+12
11701.01,11701.01,0.00008546,0.0000001,0.99996841,1/29/18 12:00 AM,1/29/18 12:00 AM,,,,,,,1.5172E+12,1.5172E+12
11426,11426,0.00008752,0.0000001,1.00000362,1/29/18 4:00 AM,1/29/18 4:00 AM,,,,,,,1.51722E+12,1.51722E+12
11429.98,11429.98,0.00008749,0.0000001,1.00000905,1/29/18 6:00 AM,1/29/18 6:00 AM,,,,,,,1.51722E+12,1.51722E+12
11359.47,11359.47,0.00008803,0.0000001,0.99997424,1/29/18 9:00 AM,1/29/18 9:00 AM,,,,,,,1.51723E+12,1.51723E+12
10995.06,10995.06,0.00009095,0.0000001,1.00000081,1/29/18 11:00 PM,1/29/18 11:00 PM,,,,,,,1.51728E+12,1.51728E+12
11061.87,11061.87,0.0000904,0.0000001,0.99999315,1/30/18 1:00 AM,1/30/18 1:00 AM,,,,,,,1.51729E+12,1.51729E+12
10323.02,10323.02,0.00009687,0.0000001,0.99999105,1/30/18 11:00 AM,1/30/18 11:00 AM,,,,,,,1.51733E+12,1.51733E+12
10435.97,10435.97,0.00009582,0.0000001,0.99997475,1/30/18 12:00 PM,1/30/18 12:00 PM,,,,,,,1.51733E+12,1.51733E+12
10235,10235,0.0000977,0.0000001,0.9999596,1/30/18 1:00 PM,1/30/18 1:00 PM,,,,,,,1.51734E+12,1.51734E+12
10174.21,10174.21,0.00009829,0.0000001,1.0000232,1/30/18 4:00 PM,1/30/18 4:00 PM,,,,,,,1.51735E+12,1.51735E+12
10229.84,10229.84,0.00009775,0.0000001,0.99996696,1/30/18 10:00 PM,1/30/18 10:00 PM,,,,,,,1.51737E+12,1.51737E+12
10060,10060,0.0000994,0.0000001,0.9999641,1/30/18 11:00 PM,1/30/18 11:00 PM,,,,,,,1.51737E+12,1.51737E+12
9501.9,9501.9,0.00010524,0.0000001,0.99998006,2/1/18 6:00 AM,2/1/18 6:00 AM,,,,,,,1.51748E+12,1.51748E+12
9591.44,9591.44,0.00010426,0.0000001,1.00000363,2/1/18 7:00 AM,2/1/18 7:00 AM,,,,,,,1.51749E+12,1.51749E+12
9480,9480,0.00010549,0.0000001,1.0000453,2/1/18 8:00 AM,2/1/18 8:00 AM,,,,,,,1.51749E+12,1.51749E+12
9294.95,9294.95,0.00010759,0.0000001,1.00004377,2/1/18 9:00 AM,2/1/18 9:00 AM,,,,,,,1.51749E+12,1.51749E+12
9430.15,9430.15,0.00010604,0.0000001,0.99997321,2/1/18 10:00 AM,2/1/18 10:00 AM,,,,,,,1.5175E+12,1.5175E+12
9339.87,9339.87,0.00010707,0.0000001,1.00001998,2/1/18 11:00 AM,2/1/18 11:00 AM,,,,,,,1.5175E+12,1.5175E+12
9130.03,9130.03,0.00010953,0.0000001,1.00001229,2/1/18 2:00 PM,2/1/18 2:00 PM,,,,,,,1.51751E+12,1.51751E+12
9355.89,9355.89,0.00010688,0.0000001,0.99995762,2/1/18 5:00 PM,2/1/18 5:00 PM,,,,,,,1.51752E+12,1.51752E+12
9120,9120,0.00010965,0.0000001,1.0000081,2/1/18 6:00 PM,2/1/18 6:00 PM,,,,,,,1.51753E+12,1.51753E+12
8883.11,8883.11,0.00011257,0.0000001,0.99997179,2/1/18 11:00 PM,2/1/18 11:00 PM,,,,,,,1.51754E+12,1.51754E+12
8506.48,8506.48,0.00011756,0.0000001,1.00002189,2/2/18 4:00 AM,2/2/18 4:00 AM,,,,,,,1.51756E+12,1.51756E+12
8337.21,8337.21,0.00011994,0.0000001,0.99996507,2/2/18 6:00 AM,2/2/18 6:00 AM,,,,,,,1.51757E+12,1.51757E+12
8299.75,8299.75,0.00012049,0.0000001,1.00003698,2/2/18 7:00 AM,2/2/18 7:00 AM,,,,,,,1.51757E+12,1.51757E+12
8878.06,8878.06,0.00011264,0.0000001,1.00002478,2/2/18 9:00 AM,2/2/18 9:00 AM,,,,,,,1.51758E+12,1.51758E+12
8749.99,8749.99,0.00011429,0.0000001,1.00003646,2/2/18 10:00 AM,2/2/18 10:00 AM,,,,,,,1.51758E+12,1.51758E+12
8691.99,8691.99,0.00011505,0.0000001,1.00001355,2/4/18 7:00 AM,2/4/18 7:00 AM,,,,,,,1.51775E+12,1.51775E+12
8745.93,8745.93,0.00011434,0.0000001,1.00000974,2/4/18 8:00 AM,2/4/18 8:00 AM,,,,,,,1.51775E+12,1.51775E+12
8681,8681,0.00011519,0.0000001,0.99996449,2/4/18 9:00 AM,2/4/18 9:00 AM,,,,,,,1.51775E+12,1.51775E+12
